Iteration,Time,Skew_327125E,Elapsed_327125E,Skew_33559CF,Elapsed_33559CF,Skew_329089E,Elapsed_329089E,Last_PPS_327125E,Last_PPS_33559CF,Last_PPS_329089E,Anomaly_327125E,Anomaly_33559CF,Anomaly_329089E
0,1739989973.6755307,0.9316532598266605,5.41036319732666,0.8476781014251706,3.554626226425171,0.851616895980835,1.789132833480835,4.47693175,2.70767925,0.9285758125,None,None,None
1,1739989974.1787195,0.9315773674774173,5.913405179977417,0.8477259233398438,4.057701110839844,0.8516497099151612,2.292241334915161,4.47693175,2.70767925,0.9285758125,None,None,None
2,1739989974.6816802,0.9314678079833989,6.416387557983398,0.8477148688354492,4.560671806335449,0.8516496785736085,2.7952115535736084,5.4291879375,3.65691975,1.8871463125,None,None,None
3,1739989975.18475,0.9314747696533203,6.91935920715332,0.8477155479583738,5.063647985458374,0.8516665144500735,3.2982089519500732,5.4291879375,3.65691975,1.8871463125,None,None,None
4,1739989975.6870613,0.9314476424713138,7.4223597049713135,0.8476132781829833,5.566543340682983,0.8515151707611084,3.8009488582611084,6.4291879375,4.65691975,2.8871463125,None,None,None
5,1739989976.189784,0.9314558116760256,7.924681186676025,0.8476911740417483,6.068946361541748,0.8515786455078125,4.3034210205078125,6.4291879375,4.65691975,2.8871463125,None,None,None
6,1739989976.6924374,0.9313953186340331,8.427460193634033,0.8476274637298582,6.571639776229858,0.8515755140686037,4.8061089515686035,7.4291879375,5.65691975,3.8871463125,None,None,None
7,1739989977.195267,0.9315140156860355,8.930230140686035,0.8476789780883793,7.074479103088379,0.8515620659637451,5.308932065963745,7.4291879375,5.65691975,3.8871463125,None,None,None
8,1739989977.698047,0.9314775535736075,9.432906866073608,0.8476758446502686,7.5771567821502686,0.8515829339294436,5.811639308929443,8.4291879375,6.65691975,4.8871463125,None,None,None
9,1739989978.2009413,0.9314614339447029,9.935737371444702,0.8476929420776367,8.080004692077637,0.8516193197021487,6.314519882202148,8.4291879375,6.65691975,4.8871463125,None,None,None
10,1739989978.7036922,0.9315202897796624,10.438688039779663,0.8476463504180911,8.58290410041809,0.8515930924530029,6.817387342453003,9.4291879375,7.65691975,5.8871463125,None,None,None
11,1739989979.2066648,0.9315321092376703,10.941467046737671,0.8476923789520256,9.085734128952026,0.8516173400421145,7.320245027542114,9.4291879375,7.65691975,5.8871463125,None,None,None
12,1739989979.7094905,0.9315193997802726,11.444433212280273,0.8476654829864501,9.58866810798645,0.851608472229004,7.823166847229004,10.4291879375,8.65691975,6.8871463125,None,None,None
13,1739989980.2119424,0.9314493719940184,11.947212934494019,0.8475650538177497,10.091327428817749,0.8515599412078858,8.325751066207886,10.4291879375,8.65691975,6.8871463125,None,None,None
14,1739989980.7146251,0.9314392506713869,12.449572563171387,0.8476609544830325,10.593799829483032,0.8515978538665774,8.828284978866577,11.4291879375,9.65691975,7.8871463125,None,None,None
15,1739989981.217524,0.931534485290527,12.952475547790527,0.8476634990081795,11.096711874008179,0.8515752739868159,9.331177711486816,11.4291879375,9.65691975,7.8871463125,None,None,None
16,1739989981.7204235,0.9315138706512442,13.455294370651245,0.8476799858093269,11.599544048309326,0.8516078893890384,9.834043264389038,12.4291879375,10.65691975,8.8871463125,None,None,None
17,1739989982.223303,0.9315148219146732,13.958153009414673,0.8476745391082758,12.102396726608276,0.8515998364562982,10.336887836456299,12.4291879375,10.65691975,8.8871463125,None,None,None
18,1739989982.7260714,0.9314615802917476,14.461036205291748,0.8476700568695072,12.605275869369507,0.8515937409973144,10.839760303497314,13.4291879375,11.65691975,9.8871463125,None,None,None
19,1739989983.2285385,0.931464951660157,14.963783264160156,0.8476253048248292,13.107971429824829,0.8515469188537601,11.34240198135376,13.4291879375,11.65691975,9.8871463125,None,None,None
20,1739989983.731229,0.931505572769165,15.466238260269165,0.8476665541381827,13.610472679138184,0.8515952730102541,11.844956398010254,14.4291879375,12.65691975,10.8871463125,None,None,None
21,1739989984.2329273,0.93142669190979,15.96883225440979,0.8475805542449955,14.112948179244995,0.8515123785247809,12.34731650352478,14.4291879375,12.65691975,10.8871463125,None,None,None
22,1739989984.7357514,0.931519270385742,16.470792770385742,0.8476730339050285,14.61503553390503,0.851563962036133,12.849489212036133,15.4291879375,13.65691975,11.8871463125,None,None,None
23,1739989985.23857,0.9315204762268081,16.973577976226807,0.8476722976531974,15.117819547653198,0.8515606656799317,13.352270603179932,15.4291879375,13.65691975,11.8871463125,None,None,None
24,1739989985.7413511,0.9315110207366928,17.476415395736694,0.8476709973144523,15.620655059814453,0.8515639138641351,13.855108976364136,16.4291879375,14.65691975,12.8871463125,None,None,None
25,1739989986.2438943,0.931413789825438,17.97895097732544,0.8476244970245368,16.123143434524536,0.8514631367950436,14.357489824295044,16.4291879375,14.65691975,12.8871463125,None,None,None
26,1739989986.7470558,0.9315658538970943,18.481754541397095,0.8477262060852055,16.626049518585205,0.8516526106719979,14.860591173171997,17.4291879375,15.65691975,13.8871463125,None,None,None
27,1739989987.2501435,0.9315660713806153,18.984838008880615,0.8477263726501469,17.129132747650146,0.851649666213989,15.36367154121399,17.4291879375,15.65691975,13.8871463125,None,None,None
28,1739989987.7531233,0.9314717265472403,19.48784041404724,0.8477192618408189,17.63212776184082,0.8516468818817131,15.866663694381714,18.4291879375,16.65691975,14.8871463125,None,None,None
29,1739989988.2561185,0.9315631409149177,19.990919828414917,0.8477003920593269,18.135188579559326,0.8516095063018803,16.36968731880188,18.4291879375,16.65691975,14.8871463125,None,None,None
30,1739989988.7589312,0.931461403686523,20.493810653686523,0.8477182862243637,18.638097286224365,0.8516273166046133,16.872613191604614,19.4291879375,17.65691975,15.8871463125,None,None,None
31,1739989989.2619479,0.9315528050384536,20.996711492538452,0.8477101578216555,19.140987157821655,0.8516421438751216,17.375514268875122,19.4291879375,17.65691975,15.8871463125,None,None,None
32,1739989989.7649376,0.9314807585144038,21.499648571014404,0.847700560577394,19.643917560577393,0.8516473796997062,17.878453254699707,20.4291879375,18.65691975,16.8871463125,None,None,None
33,1739989990.2678366,0.9314877772979742,22.002644777297974,0.8477139956970206,20.14692449569702,0.851634481948853,18.381445169448853,20.4291879375,18.65691975,16.8871463125,None,None,None
34,1739989990.770914,0.9314853176422133,22.505617380142212,0.8477222764587395,20.64990758895874,0.851648475173949,18.88444447517395,21.4291879375,19.65691975,17.8871463125,None,None,None
35,1739989991.2739892,0.9315658636016835,23.008708238601685,0.8477205123138418,21.152995824813843,0.8516512202148441,19.387535095214844,21.4291879375,19.65691975,17.8871463125,None,None,None
36,1739989991.7768717,0.9314393610076905,23.51164698600769,0.8477161464996321,21.655927896499634,0.8516343388214125,19.89044690132141,22.4291879375,20.65691975,18.8871463125,None,None,None
37,1739989992.2795346,0.9315133394622812,24.01467490196228,0.8476544855651866,22.158896923065186,0.8515486966400161,20.393333196640015,22.4291879375,20.65691975,18.8871463125,None,None,None
38,1739989992.7825458,0.9315305808410628,24.517433643341064,0.8476863485565183,22.66169047355652,0.8515901137542734,20.896173238754272,23.4291879375,21.65691975,19.8871463125,None,None,None
39,1739989993.285307,0.9315225606689452,25.020341873168945,0.8476667017822272,23.164575576782227,0.851565153076173,21.399028778076172,23.4291879375,21.65691975,19.8871463125,None,None,None
40,1739989993.788132,0.9315143415985112,25.52316927909851,0.847644735702513,23.667381048202515,0.8515552566833513,21.90182638168335,24.4291879375,22.65691975,20.8871463125,None,None,None
41,1739989994.290911,0.9315060396270738,26.025832414627075,0.8476856268310549,24.170087814331055,0.8515824455413821,22.404561758041382,24.4291879375,22.65691975,20.8871463125,None,None,None
42,1739989994.7937844,0.9315033610992423,26.528696298599243,0.847688438919068,24.672955751419067,0.8515812021179201,22.90742826461792,25.4291879375,23.65691975,21.8871463125,None,None,None
43,1739989995.296663,0.9315083421325667,27.03164052963257,0.8477002506256106,25.17591118812561,0.8515653385009756,23.410364151000977,25.4291879375,23.65691975,21.8871463125,None,None,None
44,1739989995.7994149,0.9315194826965332,27.534515857696533,0.847682081680297,25.678764581680298,0.8515603758239756,23.913209438323975,26.4291879375,24.65691975,22.8871463125,None,None,None
45,1739989996.302296,0.9315089501190172,28.03730082511902,0.847673924301148,26.181543111801147,0.8515658662109367,24.416000366210938,26.4291879375,24.65691975,22.8871463125,None,None,None
46,1739989996.8050675,0.9315202789764392,28.54015040397644,0.8476757022399894,26.68439245223999,0.8515662044525136,24.918845891952515,27.4291879375,25.65691975,23.8871463125,None,None,None
47,1739989997.3079367,0.9315636766815203,29.04279398918152,0.8477276121368398,27.18709111213684,0.8515538693389892,25.42153286933899,27.4291879375,25.65691975,23.8871463125,None,None,None
48,1739989997.8111649,0.9315103428039535,29.545666217803955,0.8476095132598864,27.689849138259888,0.8515193133850083,25.92425012588501,28.4291879375,26.65691975,24.8871463125,None,None,None
49,1739989998.3140686,0.9315624521026606,30.04895520210266,0.8476708593902593,28.19318985939026,0.8516367715606705,26.42771077156067,28.4291879375,26.65691975,24.8871463125,None,None,None
50,1739989998.8171325,0.9315301959228499,30.55193519592285,0.8476843665924072,28.696186304092407,0.8516513430633559,26.930723905563354,29.4291879375,27.65691975,25.8871463125,None,None,None
51,1739989999.3202364,0.9315259101867674,31.054897785186768,0.8476900389251725,29.19915747642517,0.8516547951507576,27.433706045150757,29.4291879375,27.65691975,25.8871463125,None,None,None
52,1739989999.8231676,0.9314632863922121,31.557863473892212,0.8476898642120361,29.702122926712036,0.8516648354949936,27.936678647994995,30.4291879375,28.65691975,26.8871463125,None,None,None
53,1739990000.326159,0.9315057318878175,32.06083416938782,0.8476927054748522,30.205095767974854,0.8516667091064463,28.439653396606445,30.4291879375,28.65691975,26.8871463125,None,None,None
54,1739990000.8289094,0.9315248497314457,32.563920974731445,0.8476518083343514,30.70814299583435,0.8515815483703619,28.94261598587036,31.4291879375,29.65691975,27.8871463125,None,None,None
55,1739990001.331624,0.9315157035369879,33.06671214103699,0.8476322693634017,31.210910081863403,0.8515669127502434,29.445364475250244,31.4291879375,29.65691975,27.8871463125,None,None,None
56,1739990001.8340929,0.9314952911224381,33.56927847862244,0.8476341786346424,31.713478803634644,0.8515642966613761,29.947929859161377,32.4291879375,30.65691975,28.8871463125,None,None,None
57,1739990002.3368037,0.9315266558532684,34.07179021835327,0.8476497811889665,32.216010093688965,0.8515866807708754,30.450488805770874,32.4291879375,30.65691975,28.8871463125,None,None,None
58,1739990002.8395026,0.9315017067565918,34.57464551925659,0.8476324485015851,32.71884369850159,0.8515656729583725,30.953296422958374,33.4291879375,31.65691975,29.8871463125,None,None,None
59,1739990003.3418381,0.9314623568420402,35.07721185684204,0.8475855446624792,33.221357107162476,0.8515172337646497,31.45575523376465,33.4291879375,31.65691975,29.8871463125,None,None,None
60,1739990003.844518,0.9315006145019566,35.57951736450195,0.8476482236633274,33.72373628616333,0.8515817877807628,31.95820903778076,34.4291879375,32.65691975,30.8871463125,None,None,None
61,1739990004.3471315,0.9315307420501711,36.08221411705017,0.8476364859924317,34.22641611099243,0.8515663192749017,32.4608678817749,34.4291879375,32.65691975,30.8871463125,None,None,None
62,1739990004.8499787,0.931537652557374,36.58496809005737,0.8476514653930636,34.729187965393066,0.8515811545104981,32.9636607170105,35.4291879375,33.65691975,31.8871463125,None,None,None
63,1739990005.3526537,0.9315043332519508,37.08781814575195,0.8476224388122588,35.232003688812256,0.8515531267242409,33.46644043922424,35.4291879375,33.65691975,31.8871463125,None,None,None
64,1739990005.8556333,0.9315337363739005,37.5905864238739,0.8476506232910168,35.734806060791016,0.8515842383270282,33.969279050827026,36.4291879375,34.65691975,32.8871463125,None,None,None
65,1739990006.3584633,0.9315334606018055,38.09345102310181,0.8476529932861325,36.23767280578613,0.8515804877166744,34.472153425216675,36.4291879375,34.65691975,32.8871463125,None,None,None
66,1739990006.8611567,0.9315135506134027,38.5961639881134,0.8476386903228743,36.740368127822876,0.8516059691009517,34.97486090660095,37.4291879375,35.65691975,33.8871463125,None,None,None
67,1739990007.3636887,0.9314542981567371,39.09879779815674,0.8476159015197737,37.242979526519775,0.8515821185913097,35.47744655609131,37.4291879375,35.65691975,33.8871463125,None,None,None
68,1739990007.8664656,0.9314743829498298,39.60137963294983,0.8476534665527353,37.745601654052734,0.8516179693756101,35.98011040687561,38.4291879375,36.65691975,34.8871463125,None,None,None
69,1739990008.369167,0.9315187459564243,40.10424780845642,0.8476286476440436,38.24843883514404,0.8515976606445292,36.48291778564453,38.4291879375,36.65691975,34.8871463125,None,None,None
70,1739990008.8721967,0.9315298968963646,40.60708689689636,0.8476487514648454,38.751304626464844,0.8516275803680387,36.98582339286804,39.4291879375,37.65691975,35.8871463125,None,None,None
71,1739990009.374892,0.9315232349395757,41.109938859939575,0.847643342102053,39.25414752960205,0.8515700248260529,37.48860239982605,39.4291879375,37.65691975,35.8871463125,None,None,None
72,1739990009.877811,0.9315324180297821,41.612786293029785,0.8476536150512715,39.75700855255127,0.8515841004943852,37.991480350494385,40.4291879375,38.65691975,36.8871463125,None,None,None
